ClassCE,0.1250513
DiscCE,0.9942975
TtlCE,-0.8692462
ErrY,0.1246545
DI,0.0719707
DI_FP,0.0169121
DI_FN,0.1270292
ErrA,0.6654254
DP,0.1142722
Recon,19.6231365
A=?_BasePR,0.2398265
A=?_BaseNR,0.7601735
A=?_PredPR,0.1909552
A=?_PredNR,0.8090448
A=?_Error,0.1246545
A=?_TPR,0.6382263
A=?_TNR,0.9501540
A=?_FPR,0.0498460
A=?_FNR,0.3617736
A=1_BasePR,0.1059603
A=1_BaseNR,0.8940398
A=1_PredPR,0.1144417
A=1_PredNR,0.8855582
A=1_Error,0.0621587
A=1_TPR,0.7467105
A=1_TNR,0.9604938
A=1_FPR,0.0395062
A=1_FNR,0.2532895
A=0_BasePR,0.3058884
A=0_BaseNR,0.6941116
A=0_PredPR,0.2287139
A=0_PredNR,0.7712861
A=0_Error,0.1554957
A=0_TPR,0.6196814
A=0_TNR,0.9435817
A=0_FPR,0.0564183
A=0_FNR,0.3803186
ACor_BasePR,0.1161216
ACor_BaseNR,0.8838784
ACor_PredPR,0.1255307
ACor_PredNR,0.8744693
ACor_Error,0.0624211
ACor_TPR,0.7717391
ACor_TNR,0.9593665
ACor_FPR,0.0406335
ACor_FNR,0.2282609
AWro_BasePR,0.3020250
AWro_BaseNR,0.6979750
AWro_PredPR,0.2238505
AWro_PredNR,0.7761496
AWro_Error,0.1559453
AWro_TPR,0.6124164
AWro_TNR,0.9442883
AWro_FPR,0.0557117
AWro_FNR,0.3875836
Y=?_Base-A1-rate,0.3304285
Y=?_Base-A0-rate,0.6695716
Y=?_Pred-A1-rate,0.9914005
Y=?_Pred-A0-rate,0.0085995
Y=?_Error,0.6654254
Y=?_A1-Correct,0.9932613
Y=?_A1-Wrong,0.0067387
Y=?_A0-Correct,0.0095178
Y=?_A0-Wrong,0.9904822
Y=1_Base-A1-rate,0.1459901
Y=1_Base-A0-rate,0.8540099
Y=1_Pred-A1-rate,0.9686249
Y=1_Pred-A0-rate,0.0313751
Y=1_Error,0.8380022
Y=1_A1-Correct,0.9473684
Y=1_A1-Wrong,0.0526316
Y=1_A0-Correct,0.0277413
Y=1_A0-Wrong,0.9722587
Y=0_Base-A1-rate,0.3886167
Y=0_Base-A0-rate,0.6113833
Y=0_Pred-A1-rate,0.9985859
Y=0_Pred-A0-rate,0.0014141
Y=0_Error,0.6109792
Y=0_A1-Correct,0.9987004
Y=0_A1-Wrong,0.0012995
Y=0_A0-Correct,0.0014869
Y=0_A0-Wrong,0.9985132
YCor_Base-A1-rate,0.3540196
YCor_Base-A0-rate,0.6459804
YCor_Pred-A1-rate,0.9913600
YCor_Pred-A0-rate,0.0086400
YCor_Error,0.6416385
YCor_A1-Correct,0.9939296
YCor_A1-Wrong,0.0060704
YCor_A0-Correct,0.0100482
YCor_A0-Wrong,0.9899518
YWro_Base-A1-rate,0.1647675
YWro_Base-A0-rate,0.8352325
YWro_Pred-A1-rate,0.9916846
YWro_Pred-A0-rate,0.0083154
YWro_Error,0.8324607
YWro_A1-Correct,0.9831775
YWro_A1-Wrong,0.0168224
YWro_A0-Correct,0.0066372
YWro_A0-Wrong,0.9933628
