acc,proc_acc,dp,eo,eos_neg,method,data,model,fair_method
0.8583625084454272,0.9273196827153661,0.11722696512178359,0.08571617440968826,0.04252849655717493,y_pred,adult,logreg,thresholding
0.8501934770591487,0.9103486441615938,0.05138929210418289,-0.11726821615237493,-5.0371640666423134e-05,y_pred_even,adult,logreg,thresholding
0.8458939868558443,0.8898727172108467,0.053858006421328875,-0.13812898278643015,-0.0029131154951306804,y_pred_protected,adult,logreg,thresholding
0.8454026165468952,0.9273196827153661,0.0492335986209544,-0.08563067946446667,0.006501154377842405,y_pred_unprotected,adult,logreg,thresholding
0.8277747067133469,0.9018631248847077,0.11854070768133548,0.05661351877803922,0.05230620464253073,y_pred,adult,mlp,thresholding
0.8217554204287206,0.8800959232613909,0.050672869027140854,-0.13139603550243706,0.00457622859735872,y_pred_even,adult,mlp,thresholding
0.807874209200909,0.8420955543257702,0.05086512071968485,-0.10553072970376443,-0.0030085153208607718,y_pred_protected,adult,mlp,thresholding
0.8229838462010933,0.9018631248847077,0.049994549582938586,-0.09861269027032271,0.010569172073170055,y_pred_unprotected,adult,mlp,thresholding
0.7515508875376206,0.8509500092233905,0.1527107607616335,0.10827009351560501,0.09953094946963707,y_pred,adult,svm,thresholding
0.7492782998587311,0.8160855930640103,0.08693063408693891,-0.008591801299170587,0.0434183400546847,y_pred_even,adult,svm,thresholding
0.7283950617283951,0.7814056447149973,0.0824511968432653,-0.030915677305058398,0.039532832163807374,y_pred_protected,adult,svm,thresholding
0.7679503715987961,0.8509500092233905,0.08741993096002426,0.004785954150030469,0.04605286342219035,y_pred_unprotected,adult,svm,thresholding
0.6768802228412256,0.6749769159741459,0.11363719370262626,0.0955408997686652,0.09706530316230233,y_pred,compas,logreg,thresholding
0.6779944289693594,0.6777469990766389,0.06737089020748616,0.04605887227094285,0.054093934017214074,y_pred_even,compas,logreg,thresholding
0.683008356545961,0.6860572483841182,0.07425674580822372,0.0453071278865298,0.06844585133119563,y_pred_protected,compas,logreg,thresholding
0.6768802228412256,0.6749769159741459,0.07686839147421409,0.06207233993093697,0.056274203038692905,y_pred_unprotected,compas,logreg,thresholding
0.6417827298050139,0.6260387811634349,0.09210101929798842,0.09289011034332784,0.06331902626813657,y_pred,compas,mlp,thresholding
0.6401114206128133,0.6380424746075716,0.0507560500724028,0.037617214009065925,0.03628916388051395,y_pred_even,compas,mlp,thresholding
0.6479108635097492,0.6361957525392428,0.049981352736775286,0.04033361703404037,0.03165495190180578,y_pred_protected,compas,mlp,thresholding
0.6272980501392758,0.6260387811634349,0.053103804813308786,0.044208568761177736,0.03612495951906364,y_pred_unprotected,compas,mlp,thresholding
0.6551532033426184,0.641735918744229,0.10093596401206795,0.08960380633864862,0.08344318301032205,y_pred,compas,svm,thresholding
0.6623955431754875,0.6518928901200369,0.0529983513247273,0.03678485863081282,0.03919923006399412,y_pred_even,compas,svm,thresholding
0.6623955431754875,0.6537396121883656,0.05588623369007484,0.03287616276671934,0.04995233512285674,y_pred_protected,compas,svm,thresholding
0.6557103064066853,0.641735918744229,0.060267440335187716,0.053092650152036014,0.03770770711415394,y_pred_unprotected,compas,svm,thresholding
0.8445427185062343,0.9077660948164545,0.023494237734785595,-0.1983438659580281,-0.01523284357483172,DP,adult,logreg,labelDebias
0.85553712916897,0.9234458586976573,0.09367956585108238,-0.003950395303947696,0.028740150500674307,EO,adult,logreg,labelDebias
0.8564584484982495,0.9243681977494927,0.08200727762391863,-0.035970455767383225,0.021203198049855106,EOs,adult,logreg,labelDebias
0.8324427246483631,0.9040767386091128,0.11081345409703619,0.06647540477890301,0.044432464672226016,DP,adult,mlp,labelDebias
0.8279589705792028,0.9009407858328722,0.12641140223850175,0.09755149528015017,0.056078301433652465,EO,adult,mlp,labelDebias
