acc,proc_acc,dp,eo,eos_neg,method,data,model
0.8445427185062343,0.9077660948164545,0.023494237734785595,-0.1983438659580281,-0.01523284357483172,DP,adult,logreg
0.85553712916897,0.9234458586976573,0.09367956585108238,-0.003950395303947696,0.028740150500674307,EO,adult,logreg
0.8564584484982495,0.9243681977494927,0.08200727762391863,-0.035970455767383225,0.021203198049855106,EOs,adult,logreg
0.8324427246483631,0.9040767386091128,0.11081345409703619,0.06647540477890301,0.044432464672226016,DP,adult,mlp
0.8279589705792028,0.9009407858328722,0.12641140223850175,0.09755149528015017,0.056078301433652465,EO,adult,mlp
0.833302622689024,0.9031543995572773,0.09969436535646253,0.044884846241307286,0.03622836264618241,EOs,adult,mlp
0.6872427983539094,0.7801143700424276,0.10700988896343061,0.0555179495315406,0.07745821638281844,DP,adult,svm
0.5486149499416497,0.4263051097583471,-0.1613635825191953,-0.059811206007562345,-0.17277550986096452,EO,adult,svm
0.7745838707696088,0.8690278546393655,0.14619211634137008,0.17991045065531436,0.0858051934226889,EOs,adult,svm
0.6779944289693594,0.6832871652816251,0.014806698611357638,-0.010179481315121475,0.004777890794977202,DP,compas,logreg
0.6796657381615598,0.6814404432132963,0.046499844391803435,0.02304349619253654,0.03501658007927422,EO,compas,logreg
0.6768802228412256,0.6823638042474607,0.030565565063516376,0.0044935942380011085,0.02206496106988265,EOs,compas,logreg
0.6562674094707521,0.6435826408125578,0.10853067281897749,0.10506049573886544,0.08106906161768662,DP,compas,mlp
0.645125348189415,0.628808864265928,0.10817984706672124,0.10905167727107412,0.07868809837665741,EO,compas,mlp
0.6607242339832868,0.6472760849492152,0.11005743357073222,0.10614030812146391,0.08232340048987635,EOs,compas,mlp
0.6657381615598885,0.6722068328716528,-0.0024845870724311547,-0.028663769670019823,-0.008618448360008912,DP,compas,svm
0.6551532033426184,0.641735918744229,0.10093596401206795,0.08960380633864862,0.08344318301032205,EO,compas,svm
0.6551532033426184,0.641735918744229,0.10093596401206795,0.08960380633864862,0.08344318301032205,EOs,compas,svm
