acc,proc_acc,dp,eo,eos_neg,method,data,model,fair_method
0.6802455357142857,0.6753006475485661,0.04890271904321397,0.025900522626833178,0.038689246867685545,transfer,compas,svm,laftr
0.6568080357142857,0.6521739130434783,0.06415707182502972,0.0446231363239723,0.05475698747074209,transfer,compas,mlp,laftr
0.6763392857142857,0.6641998149861239,0.048165038159111884,0.035745048181127226,0.027454220019275777,transfer,compas,logreg,laftr
0.42661171259842523,0.42176242379456863,0.09944142837089476,0.12573563293037804,0.08019305243432928,transfer,adult,svm,laftr
0.8265871062992126,0.9028265287271384,0.030939296037099384,-0.15399772125536826,-0.003148864688614181,transfer,adult,logreg,laftr
0.8455954724409449,0.9096619249953815,0.09516540769814867,-0.0006595900998751514,0.02996552522972827,transfer,adult,mlp,laftr
0.6562674094707521,0.6435826408125578,0.10853067281897749,0.10506049573886544,0.08106906161768662,DP,compas,mlp,labelDebias
0.8445427185062343,0.9077660948164545,0.023494237734785595,-0.1983438659580281,-0.01523284357483172,DP,adult,logreg,labelDebias
0.8324427246483631,0.9040767386091128,0.11081345409703619,0.06647540477890301,0.044432464672226016,DP,adult,mlp,labelDebias
0.6872427983539094,0.7801143700424276,0.10700988896343061,0.0555179495315406,0.07745821638281844,DP,adult,svm,labelDebias
0.6779944289693594,0.6832871652816251,0.014806698611357638,-0.010179481315121475,0.004777890794977202,DP,compas,logreg,labelDebias
0.6657381615598885,0.6722068328716528,-0.0024845870724311547,-0.028663769670019823,-0.008618448360008912,DP,compas,svm,labelDebias
0.8563970272096308,0.9263973436635307,0.1093058622796027,0.07405448760323297,0.037922304657370884,fine_part_fair_pred,adult,svm,fairCons
0.5956636570235243,0.4670724958494743,-0.06384734454219165,-0.1252862317882546,-0.10990732433785055,fine_part_fair_pred,adult,logreg,fairCons
0.6551532033426184,0.641735918744229,0.10093596401206795,0.08960380633864862,0.08344318301032205,fine_part_fair_pred,compas,svm,fairCons
0.5493036211699165,0.4995383194829178,0.0,0.0,0.0,fine_part_fair_pred,compas,logreg,fairCons
0.6623955431754875,0.6518928901200369,0.0529983513247273,0.03678485863081282,0.03919923006399412,y_pred_even,compas,svm,thresholding
0.6401114206128133,0.6380424746075716,0.0507560500724028,0.037617214009065925,0.03628916388051395,y_pred_even,compas,mlp,thresholding
0.6779944289693594,0.6777469990766389,0.06737089020748616,0.04605887227094285,0.054093934017214074,y_pred_even,compas,logreg,thresholding
0.7492782998587311,0.8160855930640103,0.08693063408693891,-0.008591801299170587,0.0434183400546847,y_pred_even,adult,svm,thresholding
0.8217554204287206,0.8800959232613909,0.050672869027140854,-0.13139603550243706,0.00457622859735872,y_pred_even,adult,mlp,thresholding
0.8501934770591487,0.9103486441615938,0.05138929210418289,-0.11726821615237493,-5.0371640666423134e-05,y_pred_even,adult,logreg,thresholding
